1st Node,2nd Node,Common Friends,Total Friends,Jaccard coefficient,Internal Aggregation,Preferential attachment score,Resource Allocation,Hitting time,Sorensen Index,Hub Index,Salton Index,Overlap Coefficient,Neighborhood overlap,HubD Index,CosineL+,Local Path Index,Local Random Walk,Labels,DegreeofNodes,Subgraphdensity-1,Subgraphdensity-2,Closeness Centrality,PageRank,Clustering Coeffiecient,Weighted Average of DofN,Weisfeiler-Lehman (WL) kernel,EigenVector Centrality,Betweeness Centrality,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25_0,F26_1,F27_2,F28_3,F29_4,F30_5,F31_6,F32_7,F33_8,F34_9,F35_10,F36_11,DegreeofNodes.1,Subgraphdensity-1.1,Subgraphdensity-2.1,Closeness Centrality.1,PageRank.1,Clustering Coeffiecient.1,Weighted Average of DofN.1,Weisfeiler-Lehman (WL) kernel.1,EigenVector Centrality.1,Betweeness Centrality.1,F0.1,F1.1,F2.1,F3.1,F4.1,F5.1,F6.1,F7.1,F8.1,F9.1,F10.1,F11.1,F12.1,F13.1,F14.1,F15.1,F16.1,F17.1,F18.1,F19.1,F20.1,F21.1,F22.1,F23.1,F24.1,F25_0.1,F26_1.1,F27_2.1,F28_3.1,F29_4.1,F30_5.1,F31_6.1,F32_7.1,F33_8.1,F34_9.1,F35_10.1,F36_11.1
FloridaState,TexasTech,20,83,0.2409638554216867,0.0,144,0.0,73,0.0,0.0,1.6666666666666667,0.0,10.0,0.0,-0.2148549292630015,0.0,0.1857594041917842,0,12,0.3170731707317073,0.2701421800947867,0.4130434782608695,0.009697381378563,0.4393939393939394,10.666666666666666,57,0.0963854291176984,0.0176211126800952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,1,0,0,0,0,0,0,0,0,0,0,5,6,12,0.3611111111111111,0.2754491017964072,0.3838383838383838,0.009710319906739,0.3636363636363636,10.333333333333334,46,0.1022724654014604,0.0106609820826135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,5,0,1,0,0,0,0,0,0,0,0,1,1,4,5
Iowa,TexasTech,22,76,0.2894736842105263,1.0,144,0.1742424242424242,4,0.1666666666666666,0.1666666666666666,1.8333333333333333,0.1666666666666666,8.166666666666666,0.1666666666666666,-0.1981374876804514,0.0909090909090909,0.3608439182435161,0,12,0.3513513513513513,0.2857142857142857,0.4071428571428571,0.0095891036071546,0.3787878787878788,11.166666666666666,52,0.1162618994561207,0.013122497053431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,3,0,0,0,0,0,0,0,0,0,0,1,8,12,0.3611111111111111,0.2754491017964072,0.3838383838383838,0.009710319906739,0.3636363636363636,10.333333333333334,46,0.1022724654014604,0.0106609820826135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,5,0,1,0,0,0,0,0,0,0,0,1,1,4,5
KansasState,TexasTech,36,70,0.5142857142857142,25.714285714285715,144,0.6393939393939395,40,0.4166666666666667,0.4166666666666667,3.0,0.4166666666666667,5.416666666666666,0.4166666666666667,0.0081002134056523,0.2631578947368421,0.1442906053416172,1,12,0.3823529411764705,0.2752293577981651,0.4206642066420664,0.0096691117779319,0.3333333333333333,10.75,60,0.1062495448644558,0.0230700988568456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,5,5,12,0.3611111111111111,0.2754491017964072,0.3838383838383838,0.009710319906739,0.3636363636363636,10.333333333333334,46,0.1022724654014604,0.0106609820826135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,5,0,1,0,0,0,0,0,0,0,0,1,1,4,5
NewMexico,TexasTech,32,68,0.4705882352941176,1.0,132,0.1742424242424242,43,0.0,0.0,2.7852424952911656,0.0,10.0,0.0,-0.2305707671892858,0.0,0.2907763157495221,1,11,0.3529411764705882,0.2583732057416268,0.4028268551236749,0.0089042366184822,0.4181818181818181,10.818181818181818,54,0.1011902270150916,0.010663869449409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,1,3,4,12,0.3611111111111111,0.2754491017964072,0.3838383838383838,0.009710319906739,0.3636363636363636,10.333333333333334,46,0.1022724654014604,0.0106609820826135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,5,0,1,0,0,0,0,0,0,0,0,1,1,4,5
BrighamYoung,PennState,27,98,0.2755102040816326,0.0,144,0.0,40,0.0,0.0,2.25,0.0,10.0,0.0,0.0520092865695311,0.0,0.2439977125321674,0,12,0.3714285714285714,0.2649572649572649,0.4237918215613382,0.009647679839969,0.3484848484848485,10.75,62,0.1065032293978512,0.0324899491838948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,6,0,2,0,0,0,0,0,0,0,0,0,1,3,6,12,0.3939393939393939,0.2571428571428571,0.4253731343283582,0.009618720616431,0.3181818181818182,10.916666666666666,63,0.1128557163575336,0.0196812843689588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,2,0,0,0,0,0,0,0,0,0,1,1,8
FloridaState,PennState,24,96,0.25,0.0,144,0.0,22,0.0,0.0,2.0,0.0,10.0,0.0,-0.2481742436515254,0.0,0.1853123291652753,0,12,0.3170731707317073,0.2701421800947867,0.4130434782608695,0.009697381378563,0.4393939393939394,10.666666666666666,57,0.0963854291176984,0.0176211126800952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,1,0,0,0,0,0,0,0,0,0,0,5,6,12,0.3939393939393939,0.2571428571428571,0.4253731343283582,0.009618720616431,0.3181818181818182,10.916666666666666,63,0.1128557163575336,0.0196812843689588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,2,0,0,0,0,0,0,0,0,0,1,1,8
Iowa,PennState,43,72,0.5972222222222222,29.14285714285714,144,0.6212121212121213,130,0.4166666666666667,0.4166666666666667,3.583333333333333,0.4166666666666667,5.416666666666666,0.4166666666666667,-0.1882254561989093,0.2631578947368421,0.0962989382787184,1,12,0.3513513513513513,0.2857142857142857,0.4071428571428571,0.0095891036071546,0.3787878787878788,11.166666666666666,52,0.1162618994561207,0.013122497053431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,3,0,0,0,0,0,0,0,0,0,0,1,8,12,0.3939393939393939,0.2571428571428571,0.4253731343283582,0.009618720616431,0.3181818181818182,10.916666666666666,63,0.1128557163575336,0.0196812843689588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,2,0,0,0,0,0,0,0,0,0,1,1,8
KansasState,PennState,36,87,0.4137931034482758,0.0,144,0.1833333333333333,46,0.1666666666666666,0.1666666666666666,3.0,0.1666666666666666,8.166666666666666,0.1666666666666666,0.0084847288029788,0.0909090909090909,0.2652335521937266,0,12,0.3823529411764705,0.2752293577981651,0.4206642066420664,0.0096691117779319,0.3333333333333333,10.75,60,0.1062495448644558,0.0230700988568456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,5,5,12,0.3939393939393939,0.2571428571428571,0.4253731343283582,0.009618720616431,0.3181818181818182,10.916666666666666,63,0.1128557163575336,0.0196812843689588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,2,0,0,0,0,0,0,0,0,0,1,1,8
NewMexico,PennState,24,93,0.2580645161290322,0.0,132,0.0,7,0.0,0.0,2.088931871468374,0.0,10.0,0.0,-0.0458518931808736,0.0,0.3200640192064022,0,11,0.3529411764705882,0.2583732057416268,0.4028268551236749,0.0089042366184822,0.4181818181818181,10.818181818181818,54,0.1011902270150916,0.010663869449409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,1,3,4,12,0.3939393939393939,0.2571428571428571,0.4253731343283582,0.009618720616431,0.3181818181818182,10.916666666666666,63,0.1128557163575336,0.0196812843689588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,2,0,0,0,0,0,0,0,0,0,1,1,8
TexasTech,PennState,21,88,0.2386363636363636,0.0,144,0.0,56,0.0,0.0,1.75,0.0,10.0,0.0,-0.1309769993076986,0.0,0.4954403570783589,0,12,0.3611111111111111,0.2754491017964072,0.3838383838383838,0.009710319906739,0.3636363636363636,10.333333333333334,46,0.1022724654014604,0.0106609820826135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,5,0,1,0,0,0,0,0,0,0,0,1,1,4,5,12,0.3939393939393939,0.2571428571428571,0.4253731343283582,0.009618720616431,0.3181818181818182,10.916666666666666,63,0.1128557163575336,0.0196812843689588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,2,0,0,0,0,0,0,0,0,0,1,1,8
BrighamYoung,SouthernCalifornia,26,91,0.2857142857142857,0.0,144,0.0,70,0.0,0.0,2.1666666666666665,0.0,10.0,0.0,-0.1864691116377,0.0,0.1925128448855304,0,12,0.3714285714285714,0.2649572649572649,0.4237918215613382,0.009647679839969,0.3484848484848485,10.75,62,0.1065032293978512,0.0324899491838948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,6,0,2,0,0,0,0,0,0,0,0,0,1,3,6,12,0.3421052631578947,0.2455357142857142,0.4014084507042254,0.0095650197059223,0.3939393939393939,11.0,55,0.1207237501445401,0.0145630359790916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,10
FloridaState,SouthernCalifornia,17,95,0.1789473684210526,0.0,144,0.0,379,0.0,0.0,1.4166666666666667,0.0,10.0,0.0,-0.1844253462173152,0.0,0.3544224293248547,0,12,0.3170731707317073,0.2701421800947867,0.4130434782608695,0.009697381378563,0.4393939393939394,10.666666666666666,57,0.0963854291176984,0.0176211126800952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,1,0,0,0,0,0,0,0,0,0,0,5,6,12,0.3421052631578947,0.2455357142857142,0.4014084507042254,0.0095650197059223,0.3939393939393939,11.0,55,0.1207237501445401,0.0145630359790916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,10
Iowa,SouthernCalifornia,31,76,0.4078947368421052,0.0,144,0.0833333333333333,37,0.0833333333333333,0.0833333333333333,2.583333333333333,0.0833333333333333,9.083333333333334,0.0833333333333333,-0.2148549292630015,0.0434782608695652,0.3399500518250424,0,12,0.3513513513513513,0.2857142857142857,0.4071428571428571,0.0095891036071546,0.3787878787878788,11.166666666666666,52,0.1162618994561207,0.013122497053431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,3,0,0,0,0,0,0,0,0,0,0,1,8,12,0.3421052631578947,0.2455357142857142,0.4014084507042254,0.0095650197059223,0.3939393939393939,11.0,55,0.1207237501445401,0.0145630359790916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,10
KansasState,SouthernCalifornia,33,82,0.4024390243902439,0.0,144,0.0909090909090909,288,0.0833333333333333,0.0833333333333333,2.75,0.0833333333333333,9.083333333333334,0.0833333333333333,-0.1557897335196704,0.0434782608695652,0.3411534392694806,0,12,0.3823529411764705,0.2752293577981651,0.4206642066420664,0.0096691117779319,0.3333333333333333,10.75,60,0.1062495448644558,0.0230700988568456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,5,5,12,0.3421052631578947,0.2455357142857142,0.4014084507042254,0.0095650197059223,0.3939393939393939,11.0,55,0.1207237501445401,0.0145630359790916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,10
NewMexico,SouthernCalifornia,33,76,0.4342105263157895,0.0,132,0.1,69,0.0869565217391304,0.0909090909090909,2.8722813232690143,0.0909090909090909,9.090909090909092,0.0909090909090909,0.4945865567686059,0.0454545454545454,0.3148167125871761,0,11,0.3529411764705882,0.2583732057416268,0.4028268551236749,0.0089042366184822,0.4181818181818181,10.818181818181818,54,0.1011902270150916,0.010663869449409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,1,3,4,12,0.3421052631578947,0.2455357142857142,0.4014084507042254,0.0095650197059223,0.3939393939393939,11.0,55,0.1207237501445401,0.0145630359790916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,10
TexasTech,SouthernCalifornia,29,72,0.4027777777777778,0.0,144,0.0,50,0.0,0.0,2.4166666666666665,0.0,10.0,0.0,-0.1798172622298061,0.0,0.4351941398892446,0,12,0.3611111111111111,0.2754491017964072,0.3838383838383838,0.009710319906739,0.3636363636363636,10.333333333333334,46,0.1022724654014604,0.0106609820826135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,5,0,1,0,0,0,0,0,0,0,0,1,1,4,5,12,0.3421052631578947,0.2455357142857142,0.4014084507042254,0.0095650197059223,0.3939393939393939,11.0,55,0.1207237501445401,0.0145630359790916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,10
PennState,SouthernCalifornia,38,80,0.475,1.0,144,0.1666666666666666,350,0.0,0.0,3.1666666666666665,0.0,10.0,0.0,-0.2486289732432096,0.0,0.3689768708966908,1,12,0.3939393939393939,0.2571428571428571,0.4253731343283582,0.009618720616431,0.3181818181818182,10.916666666666666,63,0.1128557163575336,0.0196812843689588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,2,0,0,0,0,0,0,0,0,0,1,1,8,12,0.3421052631578947,0.2455357142857142,0.4014084507042254,0.0095650197059223,0.3939393939393939,11.0,55,0.1207237501445401,0.0145630359790916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,10
BrighamYoung,ArizonaState,26,74,0.3513513513513513,1.3333333333333333,132,0.302020202020202,183,0.2608695652173913,0.2727272727272727,2.263009527424072,0.2727272727272727,6.25,0.2727272727272727,0.1302730257389466,0.15,0.3308322112955453,0,12,0.3714285714285714,0.2649572649572649,0.4237918215613382,0.009647679839969,0.3484848484848485,10.75,62,0.1065032293978512,0.0324899491838948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,6,0,2,0,0,0,0,0,0,0,0,0,1,3,6,11,0.3243243243243243,0.2695035460992908,0.360759493670886,0.0088653925256266,0.4727272727272727,10.818181818181818,38,0.107811459900023,0.0050086489316693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,1,1,8
FloridaState,ArizonaState,12,83,0.144578313253012,0.0,132,0.0,21,0.0,0.0,1.044465935734187,0.0,9.0,0.0,-0.2545480597084496,0.0,0.2100420126042015,0,12,0.3170731707317073,0.2701421800947867,0.4130434782608695,0.009697381378563,0.4393939393939394,10.666666666666666,57,0.0963854291176984,0.0176211126800952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,1,0,0,0,0,0,0,0,0,0,0,5,6,11,0.3243243243243243,0.2695035460992908,0.360759493670886,0.0088653925256266,0.4727272727272727,10.818181818181818,38,0.107811459900023,0.0050086489316693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,1,1,8
Iowa,ArizonaState,17,73,0.2328767123287671,0.0,132,0.0,15,0.0,0.0,1.4796600756234315,0.0,9.0,0.0,1.0,0.0,0.1391037210186643,0,12,0.3513513513513513,0.2857142857142857,0.4071428571428571,0.0095891036071546,0.3787878787878788,11.166666666666666,52,0.1162618994561207,0.013122497053431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,3,0,0,0,0,0,0,0,0,0,0,1,8,11,0.3243243243243243,0.2695035460992908,0.360759493670886,0.0088653925256266,0.4727272727272727,10.818181818181818,38,0.107811459900023,0.0050086489316693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,1,1,8
